source_id,short_id,title,publisher,pub_year,price_basis_year,currency,kind,url_or_file,date_accessed,reliability_note
S21,ecb_dec_2025,ECB staff projections Dec 2025 (wage growth 2028+),ECB,2025,,EUR,macro projection,ecb.europa.eu,2026-07,assumption base for 2028–32
S22,fr_driver_aggr,France driver salary aggregators,aggregators,2026,2025,EUR,salary data,web,2026-07,low — no official rate card
S23,it_driver_aggr,Italy driver salary aggregators,aggregators,2026,2025,EUR,salary data,web,2026-07,low — no official rate card
S24,sj_payscale,SJ AB official pay scale (Seko agreement),SJ/Seko,2025,2025,SEK,official pay scale,web,2026-07,medium-high
S25,oebb_careers,ÖBB careers pages (driver),ÖBB,2026,2026,EUR,official careers,oebb.at,2026-07,high
S26,fr_crew_aggr,France chef de bord aggregators,aggregators,2026,2025,EUR,salary data,web,2026-07,low
S27,it_crew_aggr,Italy capotreno aggregators,aggregators,2026,2025,EUR,salary data,web,2026-07,low
S28,oebb_zub,ÖBB Karriere Zugbegleiter:in,ÖBB,2026,2026,EUR,official careers,oebb.at,2026-07,"high; incl. allowances, 14 salaries"
S29,ell_ja2021,ELL GmbH & Co. KG Jahresabschluss 2021,Bundesanzeiger,2022,2021,EUR,audited accounts,bundesanzeiger.de,2026-07,audited; internal-rate caveats
S30,rdc_ja2021,RDC Deutschland Jahresabschluss 2021,Bundesanzeiger,2022,2021,EUR,audited accounts,bundesanzeiger.de,2026-07,checked-empty for rates
S33,italo_2023,Italo/NTV 2022–23 figures via financial press,press,2024,2023,EUR,financial press,web,2026-07,"actuals, medium-high"
S34,cd_tenders,ČD loco tender figures (2021 lease framework; 2026 dual-mode bid; ComfortJet),ČD/Siemens via zdopravy.cz,2026,2026,CZK,tender figures,web,2026-07,estimates and bids
S35,italo_ar2019,Italo S.p.A. Annual Report 2019 (EN),Italo/NTV,2020,2019,EUR,audited accounts,sources/financial-statement-2019.pdf,2026-07,audited primary
S36,trafikverket_talgo,Trafikverket night train procurement — EXTENDS S11 (2025 failed round; 2026 Talgo award; SJ refit),Trafikverket/SJ via Swedish press,2026,2026,SEK,procurement,web,2026-07,award reported; scope caveats
S37,norske_flirtnex,Norske tog FLIRTNEX 17×8-car NOK 8bn (2023),Norske tog,2023,2023,NOK,contract,web,2026-07,signed
S38,calsleeper_mk5,Caledonian Sleeper Mk5 75 cars £150M (2015),Serco/CAF via press,2015,2015,GBP,contract,web,2026-07,delivered
S39,skoda_icn,Trenitalia ICN framework ≤370 cars €732.5M; call 70/€138.6M (2023),Trenitalia/Škoda; BoT analysis,2023,2023,EUR,contract,web,2026-07,signed; budget-capped
S40,gebrauchtzug,DB Gebrauchtzug channel evidence (Bieterverfahren; 73 multi-voltage coaches offered),DB Regio,2026,,EUR,market channel,db-gebrauchtzug.de,2026-07,no public prices; CNL price under S16
S41,bot_route_db,BoT Open Night Train Database — route geometry sample,Back-on-Track Europe,2026,,n/a,route database,back-on-track.eu/night-train-database,2026-07,2026 timetable
